GENDER,JOB,INTERNET,TV,COMPUTER,CAR,PEOPLE_HOUSE,SCHOOL_TYPE,SCHOOL_NAT,ACADEMIC_PROGRAM,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO
F,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,97,67,77,87,85,99,97,90,95,53,179
M,No,Yes,Yes,Yes,No,4,ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,77,61,70,74,65,95,83,64,86,98,160
M,No,Yes,Yes,Yes,No,5,TECHNICAL/ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,76,71,77,69,57,97,91,86,47,64,165
M,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,71,57,53,71,58,90,17,25,68,44,68
F,No,Yes,Yes,No,No,5,TECHNICAL/ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,61,64,77,70,54,91,69,88,86,91,172
M,No,Yes,Yes,Yes,No,3,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,71,57,50,81,50,100,76,65,63,60,128
M,No,Yes,Yes,Yes,No,4,ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,74,67,62,75,55,90,56,61,61,72,146
M,No,No,No,Yes,Yes,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,83,64,74,69,67,98,86,72,81,87,167
M,No,No,No,Yes,No,4,TECHNICAL/ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,50,66,56,55,76,63,47,43,90,29,144
M,No,Yes,Yes,Yes,Yes,7,TECHNICAL/ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,63,55,54,60,58,93,89,79,46,90,173
M,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,81,54,56,70,64,96,84,73,84,48,132
F,No,Yes,Yes,Yes,No,4,TECHNICAL/ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,66,75,69,69,61,100,95,18,86,72,163
F,No,Yes,Yes,Yes,Yes,5,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,59,65,62,65,75,89,91,87,92,0,92
F,No,Yes,No,No,No,2,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,76,81,73,74,80,92,94,62,84,98,172
F,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,66,79,82,77,85,93,81,83,91,92,108
M,No,Yes,Yes,Yes,No,4,TECHNICAL/ACADEMIC,PUBLIC,CHEMICAL ENGINEERING,64,69,70,70,55,97,82,96,74,67,74
F,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,81,81,77,77,95,99,97,99,99,7,185
M,No,No,No,No,No,5,TECHNICAL,PRIVATE,CHEMICAL ENGINEERING,71,49,46,61,50,52,55,12,65,14,154
F,No,Yes,Yes,Yes,Yes,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,69,69,74,82,95,95,86,94,100,52,204
M,No,Yes,Yes,Yes,No,4,ACADEMIC,PRIVATE,CHEMICAL ENGINEERING,64,57,61,67,65,40,61,70,79,31,169
